planned_order,product_id,product,type,listed_colours,colour_count,gallery_count,variation_count,snapshot_sold_out_rows,known_exception,reference_decision,colour_registry_version,approved_asset_manifest,catalogue_gate,imagery_gate,colour_gate,staging_full_matrix_gate,staging_cart_gate,desktop_mobile_gate,accessibility_gate,performance_gate,backup_restore_gate,live_field_image_gate,live_colour_browser_gate,live_cart_sample_gate,monitoring_gate,reviewer,evidence_links,status,next_control_point
1,117,Courtline Dress,variable,Jujube Red | White,2,2,8,0,White primary599 and variation462 are same source scene with different framing. Jujube463 dark green trim differs from White burgundy trim. Reuse originals; no generation.,Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_DESKTOP_MOBILE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,LOSSLESS_ASSET_CHECK_PASS_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,DEFAULTS_DESKTOP_MOBILE_KEYBOARD_RESET_FALLBACK_PASS_20260915,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,LOSSLESS_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | ../releases/2026-09-14-catalog-canaries.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,existing generic size guide retained (issue #74)
2,154,The Flow Skort,variable,Black | Lavender | White,3,3,12,0,Black543 and Lavender554 have white piping; White541 has black piping. Reuse originals; no generation.,Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_DESKTOP_MOBILE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,FULL_JPEG_ORIGINAL_RETAINED_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,LIVE_DESKTOP_MOBILE_PASS,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,GALLERY_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | ../releases/2026-09-14-catalog-canaries.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,Retain normal catalogue maintenance; next-day bounded checks passed
3,95,The Elite Dress,variable,Powder Blue | Black | Pure White,3,3,12,0,Three colours with lace overlay and sheer scalloped edge. Preserve lace; no invented texture macros. Primary608/variation449 different framing.,Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_DESKTOP_MOBILE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,LOSSLESS_ASSET_CHECK_PASS_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,DEFAULTS_RELATED_POWDER_PREVIEW_PASS_20260915,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,LOSSLESS_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | ../releases/2026-09-14-catalog-canaries.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,Retain normal catalogue maintenance; next-day bounded checks passed
4,111,The Varsity Dress,variable,Green,1,1,4,0,Green460 and primary606 same garment different framing. Preserve white neckline and double hem stripe.,Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_DESKTOP_MOBILE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,LOSSLESS_ASSET_CHECK_PASS_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,LIVE_DESKTOP_MOBILE_PASS,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,LOSSLESS_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | ../releases/2026-09-14-catalog-canaries.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,Retain normal catalogue maintenance; next-day bounded checks passed
5,89,The Serve Dress,variable,Sakura Pink,1,1,4,0,Primary605 and variation472 same pale-pink narrow-pleat dress. Reuse.,Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_DESKTOP_MOBILE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,LOSSLESS_ASSET_CHECK_PASS_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,LIVE_DESKTOP_MOBILE_PASS,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,LOSSLESS_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | ../releases/2026-09-14-catalog-canaries.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,Retain normal catalogue maintenance; next-day bounded checks passed
6,83,The Match Dress,variable,White,1,1,3,0,Primary600 and variation473 same white ribbed dress; preserve pink/black waist/neck trim.,Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_RESPONSIVE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,LOSSLESS_ASSET_CHECK_PASS_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,LIVE_DESKTOP_MOBILE_PASS,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,LOSSLESS_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,Retain normal catalogue maintenance; next-day bounded checks passed
7,50,The Rally Dress,variable,Beige | Gray | Mocha | Navy Blue,4,4,7,0,"Four colours independently mapped; Beige474 ivory garment also in397, Gray477 in395, Mocha475 in396. Preserve side tie/bow.",Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_RESPONSIVE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,LOSSLESS_ASSET_CHECK_PASS_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,LIVE_DESKTOP_MOBILE_PASS,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,LOSSLESS_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,Retain normal catalogue maintenance; next-day bounded checks passed
8,36,The Court Dress,variable,Black | Navy Blue | Pure White | Turquoise Blue,4,4,6,0,"Four correctly coloured images. Navy391 close crop/sheeredged hem differs from fullbody others. Preserve source details; CSS contain, no inferred Navy fullbody.",Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_RESPONSIVE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,LOSSLESS_ASSET_CHECK_PASS_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,LIVE_DESKTOP_MOBILE_PASS,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,LOSSLESS_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,Retain normal catalogue maintenance; next-day bounded checks passed
9,128,The Everyday Skort,variable,Sakura Pink | Black | Gray | White,4,4,12,1,"Four separately mapped colours. Sakura502 close crop vs primary609 full-body; both same pink garment. Reuse, contain, do not invent footwear.",Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_RESPONSIVE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,LOSSLESS_ASSET_CHECK_PASS_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,LIVE_DESKTOP_MOBILE_PASS,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,LOSSLESS_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,Retain normal catalogue maintenance; next-day bounded checks passed
10,565,The Match Polo,variable,Powder Blue | Navy Blue | White,3,3,12,0,Navy566/584 and White568/585 different crops of same garment. Powder583 correct. Preserve contrasting collar stripes and zipper colours.,Reuse existing images; mappings unchanged,catalogue-reviewed-20260912,CURRENT-IMAGE-MANIFEST.json,SNAPSHOT_RECONCILED,SOURCE_REFERENCE_REVIEWED,APPROXIMATION_REVIEWED,BACKEND_AND_BROWSER_SELECTION_PASS_20260914,BACKEND_AND_PRIVATE_BROWSER_CART_SAMPLE_PASS,PRIVATE_RESPONSIVE_PASS_20260914,KEYBOARD_FALLBACK_SIZEHELP_PASS_20260914,LOSSLESS_ASSET_CHECK_PASS_CWV_NOT_MEASURED,FRESH_FULL_RESTORE_AND_SCOPED_ROLLBACK_PASS_20260915,DEFAULTS_FILE_METADATA_IMAGE_IDENTITY_PASS_20260915,LIVE_DESKTOP_MOBILE_PASS,DEFAULTS_CART_PASS_ITEM_REMOVED_20260915,LOSSLESS_20MIN_PASS_DEFAULTS_20MIN_PASS_NEXTDAY_HTTP_SAMPLE_PASS,Independent current imagery review; root recovery evidence reconciliation,CURRENT-IMAGE-MANIFEST.json | REVIEWED-REGISTRY.json | CURRENT-REVIEW.md | ../work-records/2026-09-08-catalog-visual-standardization.md | CATALOGUE-DEFAULTS.md | LOSSLESS-DELIVERY.md | GALLERY-STARTUP.md | ../releases/2026-09-15-catalogue-defaults.md | ../releases/2026-09-15-catalogue-nextday.md,LIVE_NEXTDAY_SAMPLE_PASS,Retain normal catalogue maintenance; next-day bounded checks passed
